taskCaseId,activity,timestamp,actor,object
INV-100042,Open Excel,2026-01-05T09:00:00.000Z,Priya Nadella,INV-100042
INV-100042,Excel: Copy Vendor,2026-01-05T09:00:07.000Z,Priya Nadella,INV-100042
INV-100042,Excel: Copy Amount,2026-01-05T09:00:13.000Z,Priya Nadella,INV-100042
INV-100042,Switch to Chrome,2026-01-05T09:00:17.000Z,Priya Nadella,INV-100042
INV-100042,Chrome: Paste Vendor,2026-01-05T09:00:21.000Z,Priya Nadella,INV-100042
INV-100042,Chrome: Paste Amount,2026-01-05T09:00:26.000Z,Priya Nadella,INV-100042
INV-100042,Chrome: Validate,2026-01-05T09:00:32.000Z,Priya Nadella,INV-100042
INV-100042,Chrome: Submit,2026-01-05T09:00:38.000Z,Priya Nadella,INV-100042
INV-100043,Open Excel,2026-01-05T09:23:28.000Z,Sam Turner,INV-100043
INV-100043,Excel: Copy Vendor,2026-01-05T09:23:35.000Z,Sam Turner,INV-100043
INV-100043,Excel: Copy Amount,2026-01-05T09:23:41.000Z,Sam Turner,INV-100043
INV-100043,Switch to Chrome,2026-01-05T09:23:45.000Z,Sam Turner,INV-100043
INV-100043,Chrome: Paste Vendor,2026-01-05T09:23:49.000Z,Sam Turner,INV-100043
INV-100043,Chrome: Paste Amount,2026-01-05T09:23:54.000Z,Sam Turner,INV-100043
INV-100043,Chrome: Validate,2026-01-05T09:24:00.000Z,Sam Turner,INV-100043
INV-100043,Chrome: Submit,2026-01-05T09:24:06.000Z,Sam Turner,INV-100043
INV-100044,Open Excel,2026-01-05T09:46:57.000Z,Lee Okafor,INV-100044
INV-100044,Excel: Copy Vendor,2026-01-05T09:47:04.000Z,Lee Okafor,INV-100044
INV-100044,Excel: Copy Amount,2026-01-05T09:47:10.000Z,Lee Okafor,INV-100044
INV-100044,Switch to Chrome,2026-01-05T09:47:14.000Z,Lee Okafor,INV-100044
INV-100044,Chrome: Paste Vendor,2026-01-05T09:47:18.000Z,Lee Okafor,INV-100044
INV-100044,Chrome: Paste Amount,2026-01-05T09:47:23.000Z,Lee Okafor,INV-100044
INV-100044,Chrome: Validate,2026-01-05T09:47:29.000Z,Lee Okafor,INV-100044
INV-100044,Chrome: Submit,2026-01-05T09:47:35.000Z,Lee Okafor,INV-100044
INV-100045,Open Excel,2026-01-05T10:10:25.000Z,Maria Alvarez,INV-100045
INV-100045,Excel: Copy Vendor,2026-01-05T10:10:32.000Z,Maria Alvarez,INV-100045
INV-100045,Excel: Copy Amount,2026-01-05T10:10:38.000Z,Maria Alvarez,INV-100045
INV-100045,Switch to Chrome,2026-01-05T10:10:42.000Z,Maria Alvarez,INV-100045
INV-100045,Chrome: Paste Vendor,2026-01-05T10:10:46.000Z,Maria Alvarez,INV-100045
INV-100045,Chrome: Paste Amount,2026-01-05T10:10:51.000Z,Maria Alvarez,INV-100045
INV-100045,Chrome: Validate,2026-01-05T10:10:57.000Z,Maria Alvarez,INV-100045
INV-100045,Chrome: Submit,2026-01-05T10:11:03.000Z,Maria Alvarez,INV-100045
INV-100046,Open Excel,2026-01-05T10:33:54.000Z,Tom Becker,INV-100046
INV-100046,Excel: Copy Vendor,2026-01-05T10:34:01.000Z,Tom Becker,INV-100046
INV-100046,Excel: Copy Amount,2026-01-05T10:34:07.000Z,Tom Becker,INV-100046
INV-100046,Switch to Chrome,2026-01-05T10:34:11.000Z,Tom Becker,INV-100046
INV-100046,Chrome: Paste Vendor,2026-01-05T10:34:15.000Z,Tom Becker,INV-100046
INV-100046,Chrome: Paste Amount,2026-01-05T10:34:20.000Z,Tom Becker,INV-100046
INV-100046,Chrome: Validate,2026-01-05T10:34:26.000Z,Tom Becker,INV-100046
INV-100046,Chrome: Submit,2026-01-05T10:34:32.000Z,Tom Becker,INV-100046
INV-100047,Open Excel,2026-01-05T10:54:22.000Z,Aisha Khan,INV-100047
INV-100047,Excel: Copy Vendor,2026-01-05T10:54:29.000Z,Aisha Khan,INV-100047
INV-100047,Excel: Copy Amount,2026-01-05T10:54:35.000Z,Aisha Khan,INV-100047
INV-100047,Switch to Chrome,2026-01-05T10:54:39.000Z,Aisha Khan,INV-100047
INV-100047,Chrome: Paste Vendor,2026-01-05T10:54:43.000Z,Aisha Khan,INV-100047
INV-100047,Chrome: Paste Amount,2026-01-05T10:54:48.000Z,Aisha Khan,INV-100047
INV-100047,Chrome: Validate,2026-01-05T10:54:54.000Z,Aisha Khan,INV-100047
INV-100047,Chrome: Submit,2026-01-05T10:55:00.000Z,Aisha Khan,INV-100047
INV-100048,Open Excel,2026-01-05T11:17:51.000Z,Diego Santos,INV-100048
INV-100048,Excel: Copy Vendor,2026-01-05T11:17:58.000Z,Diego Santos,INV-100048
INV-100048,Excel: Copy Amount,2026-01-05T11:18:04.000Z,Diego Santos,INV-100048
INV-100048,Switch to Chrome,2026-01-05T11:18:08.000Z,Diego Santos,INV-100048
INV-100048,Chrome: Paste Vendor,2026-01-05T11:18:12.000Z,Diego Santos,INV-100048
INV-100048,Chrome: Paste Amount,2026-01-05T11:18:17.000Z,Diego Santos,INV-100048
INV-100048,Chrome: Validate,2026-01-05T11:18:23.000Z,Diego Santos,INV-100048
INV-100048,Chrome: Submit,2026-01-05T11:18:29.000Z,Diego Santos,INV-100048
INV-100049,Open Excel,2026-01-05T11:41:19.000Z,Nina Petrova,INV-100049
INV-100049,Excel: Copy Vendor,2026-01-05T11:41:26.000Z,Nina Petrova,INV-100049
INV-100049,Excel: Copy Amount,2026-01-05T11:41:32.000Z,Nina Petrova,INV-100049
INV-100049,Switch to Chrome,2026-01-05T11:41:36.000Z,Nina Petrova,INV-100049
INV-100049,Chrome: Paste Vendor,2026-01-05T11:41:40.000Z,Nina Petrova,INV-100049
INV-100049,Chrome: Paste Amount,2026-01-05T11:41:45.000Z,Nina Petrova,INV-100049
INV-100049,Chrome: Validate,2026-01-05T11:41:51.000Z,Nina Petrova,INV-100049
INV-100049,Chrome: Submit,2026-01-05T11:41:57.000Z,Nina Petrova,INV-100049
INV-100050,Open Excel,2026-01-05T12:04:47.000Z,Priya Nadella,INV-100050
INV-100050,Excel: Copy Vendor,2026-01-05T12:04:54.000Z,Priya Nadella,INV-100050
INV-100050,Excel: Copy Amount,2026-01-05T12:05:00.000Z,Priya Nadella,INV-100050
INV-100050,Switch to Chrome,2026-01-05T12:05:04.000Z,Priya Nadella,INV-100050
INV-100050,Chrome: Paste Vendor,2026-01-05T12:05:08.000Z,Priya Nadella,INV-100050
INV-100050,Chrome: Paste Amount,2026-01-05T12:05:13.000Z,Priya Nadella,INV-100050
